name,url,snippet
"OnePlus Nord 2T 5G (Gray Shadow, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Shadow-128GB-Storage/dp/B0B3CQBRB4,"Rating  4.3  (23,484)    28,999.00   In stockOnePlus Nord 2T 5G (Gray Shadow, 8GB RAM, 128GB Storage) : Amazon.in: Electronics. ... OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage).Missing:  mem_type mem_grid"
"OnePlus 11 5G (Eternal Green, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-128GB-Storage/dp/B0BQJLCQD3,"Rating  4.3  (1,518)    56,999.00   In stock- Great value for Money. - Great Camera and video recording. - Great Battery life. - Amazing Dolby atmos surround sound and don't need earpods while watching...Missing:  mem_type mem_grid"
"Buy OnePlus Nord 2T 5G (8GB RAM, 128GB, Gray Shadow) Online",https://www.croma.com/oneplus-nord-2t-5g-8gb-ram-128gb-gray-shadow-/p/256928,"Rating  4.7  (154)    28,999.00Buy OnePlus Nord 2T 5G (8GB RAM, 128GB, Gray Shadow) online at best prices from Croma. Check product details, reviews & more. Shop now!Missing:  mem_type mem_grid value/"
