title,storage,display,camera,battery,processor,price,link
Cellecor R3+,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0.8MP Rear Camera,1000 mAh Battery,1 Year Manufacturer Warranty,"₹1,049",https://www.flipkart.com/cellecor-r3/p/itm40bcb0f86796d?pid=MOBGMZZ8GT4UKUYT&lid=LSTMOBGMZZ8GT4UKUYTEERFNG&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=en_UZIVyIUtpPCx9mHb%2Bj0E7hfAncpGiqod29JeJZkMQ29iib1vtw8PbDMMbal7MkxtX499lQnYXEB4GDYnMYMIvA%3D%3D&ppt=None&ppn=None&ssid=ri2yji8tsw0000001684749993675&qH=377f6742e239020b
XTOUCH F10,32 MB RAM | 56 MB ROM,4.5 cm (1.77 inch) Display,1.3MP Rear Camera,800 mAh Battery,1 Year Manufacturer Warranty,"₹1,199",https://www.flipkart.com/xtouch-f10/p/itmca17d4e92dc0a?pid=MOBGBE69HQCFSJFJ&lid=LSTMOBGBE69HQCFSJFJIWELW4&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=en_UZIVyIUtpPCx9mHb%2Bj0E7hfAncpGiqod29JeJZkMQ2%2BQd3S4ija5Q9OG6Sw4tYjrJTCthlvDBa1f7%2FgR0tyLzA%3D%3D&ppt=None&ppn=None&ssid=ri2yji8tsw0000001684749993675&qH=377f6742e239020b
"POCO C50 (Royal Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","₹5,749",https://www.flipkart.com/poco-c50-royal-blue-32-gb/p/itma43af9d14952e?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=16aefa05-07a0-477c-8f64-b10e606d0c5f.MOBGK8WZUTGDEZFA.SEARCH&ppt=None&ppn=None&ssid=ri2yji8tsw0000001684749993675&qH=377f6742e239020b
"realme C55 (Sunshower, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,"₹13,999",https://www.flipkart.com/realme-c55-sunshower-128-gb/p/itm054283d14c56e?pid=MOBGNBYJUA2G5HK4&lid=LSTMOBGNBYJUA2G5HK40FPVVJ&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=16aefa05-07a0-477c-8f64-b10e606d0c5f.MOBGNBYJUA2G5HK4.SEARCH&ppt=None&ppn=None&ssid=ri2yji8tsw0000001684749993675&qH=377f6742e239020b
"POCO M5 (Icy Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,"₹8,999",https://www.flipkart.com/poco-m5-icy-blue-64-gb/p/itmcc02f8aecb269?pid=MOBGHMZE5ERRQPJH&lid=LSTMOBGHMZE5ERRQPJHGJ37RN&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=16aefa05-07a0-477c-8f64-b10e606d0c5f.MOBGHMZE5ERRQPJH.SEARCH&ppt=None&ppn=None&ssid=ri2yji8tsw0000001684749993675&qH=377f6742e239020b
"realme C55 (Sunshower, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,"₹10,999",https://www.flipkart.com/realme-c55-sunshower-64-gb/p/itm054283d14c56e?pid=MOBGNBYJCXN6WRB3&lid=LSTMOBGNBYJCXN6WRB3NDXTAJ&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=16aefa05-07a0-477c-8f64-b10e606d0c5f.MOBGNBYJCXN6WRB3.SEARCH&ppt=None&ppn=None&ssid=ri2yji8tsw0000001684749993675&qH=377f6742e239020b
Cellecor E8 Plus,32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,0.8MP Rear Camera,2750 mAh Battery,1 year warranty for device and 6months warranty for accessories,"₹1,396",https://www.flipkart.com/cellecor-e8-plus/p/itm5fa220530d475?pid=MOBGGSRCQQ3TET5G&lid=LSTMOBGGSRCQQ3TET5G4PZFTD&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=en_UZIVyIUtpPCx9mHb%2Bj0E7hfAncpGiqod29JeJZkMQ29BbMPf15UVgX8zOv2VXu0WcLBHh8sW5mxtG9OdqpXTNg%3D%3D&ppt=None&ppn=None&ssid=ri2yji8tsw0000001684749993675&qH=377f6742e239020b
Cellecor E10,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.8MP Rear Camera,2750 mAh Battery,1 Year Manufacturer Warranty,"₹1,353",https://www.flipkart.com/cellecor-e10/p/itmc13da54198b8d?pid=MOBGFH9C28E8WKJR&lid=LSTMOBGFH9C28E8WKJRPTZTLG&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=en_UZIVyIUtpPCx9mHb%2Bj0E7hfAncpGiqod29JeJZkMQ28rQB6BKKVg0a8J5bZSkXiSyWPOUJsOBUEc4J6f%2F%2BCVtw%3D%3D&ppt=None&ppn=None&ssid=ri2yji8tsw0000001684749993675&qH=377f6742e239020b
"realme C35 (Glowing Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 0.3MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor,"₹9,699",https://www.flipkart.com/realme-c35-glowing-black-64-gb/p/itmafb045222b2cf?pid=MOBGBTHFDQXQEGNS&lid=LSTMOBGBTHFDQXQEGNSZWXHXJ&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=16aefa05-07a0-477c-8f64-b10e606d0c5f.MOBGBTHFDQXQEGNS.SEARCH&ppt=None&ppn=None&ssid=ri2yji8tsw0000001684749993675&qH=377f6742e239020b
"POCO C51 (Power Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,"₹7,249",https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=latest+mobile&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_na&fm=organic&iid=16aefa05-07a0-477c-8f64-b10e606d0c5f.MOBGZCQFWM5HZHXX.SEARCH&ppt=None&ppn=None&ssid=ri2yji8tsw0000001684749993675&qH=377f6742e239020b
