"product id","product title","product urls"
5611,LG 7 kg Steam Fully Automatic Front Load with In-built Heater Silver(FHM1207SDL),"[['https://www.amazon.in/LG-Inverter-Control-Fully-Automatic-FHM1207SDL/dp/B09LM39YR9'], ['https://www.flipkart.com/lg-7-kg-steam-fully-automatic-front-load-in-built-heater-silver/p/itm3ac9375676037'], ['https://www.croma.com/lg-7-kg-5-star-inverter-fully-automatic-front-load-washing-machine-fhm1207sdl-in-built-heater-luxury-silver-/p/257039'], ['https://www.reliancedigital.in/lg-7-kg-5-star-inverter-touch-control-fully-automatic-front-load-washing-machine-with-heater-fhm1207sdl-silver-6-motion-direct-drive-2-years-warranty-/p/492664431']]"
5648,"IFB 6 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White(DIVA AQUA VSS 6008)",[['https://www.flipkart.com/ifb-6-kg-5-star-2x-power-steam-hard-water-wash-fully-automatic-front-load-in-built-heater-white/p/itm3bf21ef8dc5e7']]
5682,Panasonic 7 kg Fully Automatic Top Load Silver(NA-F70LF2MRB),"[['https://www.amazon.in/Panasonic-Fully-Automatic-Loading-Washing-NA-F70LF2MRB/dp/B09YD9QDXX'], ['https://www.croma.com/panasonic-7-kg-5-star-fully-automatic-top-load-washing-machine-na-f70c1mrb-lint-filter-middle-free-silver-/p/243207?utm_source=google&utm_medium=ps&utm_campaign=sok_search_dsa_acq-washing_machines_august&gbraid=%7Bgbraid%7D']]"
5683,SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Heater Silver(WW60R20GLSS/TL),"[['https://www.amazon.in/Samsung-Inverter-Fully-Automatic-WW60R20GLSS-TL/dp/B08DDTG2XX'], ['https://www.samsung.com/in/washers-and-dryers/washing-machines/baikal6-front-loading-6kg-silver-ww60r20glss-tl/'], ['https://www.flipkart.com/samsung-6-kg-5-star-hygiene-steam-ceramic-heater-fully-automatic-front-load-in-built-silver/p/itmbe741e42ffe68'], ['https://www.croma.com/samsung-6-kg-5-star-inverter-fully-automatic-front-load-washing-machine-ww60r20glss-tl-diamond-drum-silver-/p/250624'], ['https://www.reliancedigital.in/samsung-6-kg-inverter-5-star-fully-automatic-front-loading-washing-machine-ww60r20glss-tl-silver-hygiene-steam-3-years-warranty-/p/492864817']]"
5724,"LG 8 kg Semi Automatic Top Load Maroon, White(P8035SRAZ)","[['https://www.flipkart.com/lg-8-kg-semi-automatic-top-load-maroon-white/p/itmfacf7f4a1049d'], ['https://www.croma.com/lg-8-kg-5-star-semi-automatic-washing-machine-with-lint-filter-p8035sraz-abgqeil-burgundy-/p/236732']]"
5735,"Haier 6.5 kg 5 star Ariel Wash Fully Automatic Top Load Brown, Grey(HWM65-FE)","[['https://www.amazon.in/hwm65-fe/s?k=hwm65-fe'], ['https://www.flipkart.com/haier-6-5-kg-5-star-oceanus-wave-drum-washing-machine-fully-automatic-top-load-brown-grey/p/itm2c899989a92d7'], ['https://www.reliancedigital.in/haier-6-5-kg-top-loading-fully-automatic-washing-machine-with-360-waterfall-technology-707-hwm65-707nzp/p/491891863'], ['https://www.croma.com/haier-6-5-kg-5-star-fully-automatic-top-load-washing-machine-hwm65-707bknzp-magic-filter-titanium-grey-/p/234065']]"
5789,Whirlpool 7 kg Fully Automatic Top Load Grey(WM ROYAL PLUS 7.0 SHINY GREY 5YMW),"[['https://www.flipkart.com/whirlpool-7-kg-fully-automatic-top-load-grey/p/itmfcvzwhf3wjypp'], ['https://www.amazon.in/Whirlpool-Fully-Automatic-ROYAL-PLUS-5YMW/dp/B07N25BK57']]"
5815,"LG 10 kg White with Roller Jet Pulsator, Soak and Smart Filter Semi Automatic Top Load Maroon, White(P1050SRAZ)","[['https://www.amazon.in/LG-Semi-Automatic-Loading-P1050SRAZ-Burgundy/dp/B09CMVSQL2'], ['https://www.flipkart.com/lg-10-kg-white-roller-jet-pulsator-soak-smart-filter-semi-automatic-top-load-maroon/p/itm10b39aecb1922']]"
5874,LG 6.5 kg with Steam and Smart Diagnosis Fully Automatic Front Load with In-built Heater White(FHM1065SDW),"[['https://www.amazon.in/LG-Inverter-Fully-Automatic-FHM1065SDW-Technology/dp/B09Q94H46F'], ['https://www.flipkart.com/lg-6-5-kg-steam-smart-diagnosis-fully-automatic-front-load-in-built-heater-white/p/itmafe4e5c13abbb']]"
5876,Godrej 6.2 kg Fully Automatic Top Load Grey(WT EON 620 AP GP GR),[['https://www.flipkart.com/godrej-6-2-kg-i-wash-technology-washing-machine-fully-automatic-top-load-grey/p/itm96766c6432a3e']]
5898,LG 6 kg Steam Fully Automatic Front Load with In-built Heater White(FHM1006SDW),"[['https://www.amazon.in/LG-Inverter-Fully-Automatic-Loading-FHM1006SDW/dp/B09LLMH3CQ'], ['https://www.flipkart.com/lg-6-kg-steam-fully-automatic-front-load-in-built-heater-white/p/itm49d39f57acff7'], ['https://www.reliancedigital.in/page/lg-front-load-washing-machines'], ['https://www.croma.com/lg-6-kg-5-star-inverter-fully-automatic-front-load-washing-machine-fhm1006sdw-steam-wash-white-/p/257038'], ['https://www.reliancedigital.in/lg-6-kg-5-star-inverter-fully-automatic-front-loading-washing-machine-fhm1006sdw-white-6-motion-direct-drive-2-years-warranty-/p/492664429']]"
5941,ONIDA 6.5 kg Washer only Red(Liliput),[['https://www.amazon.in/Toys-Games-Liliput/s?rh=n%3A1350380031%2Cp_4%3ALiliput']]
